"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AA3","AY1","AY2","GA1","GA2","GA3","GA4","GE1","GF1","KA1","KA2","MA1","MD1","MW1","MW2","OC1","REM","EQD"
"76412099999","2022-01-01T00:45:00","4","24.764547","-107.474717","32.91","CULIACAN INTERNATIONAL, MX","FM-15","99999","V020","150,1,N,0031,1","02438,1,C,N","012875,1,9,9","+0230,1","+0200,1","99999,9",,,,,,"02,1,+00610,1,06,1","04,1,+02438,1,03,1","08,1,+03048,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9",,,"10122,1,99999,9",,,,,"MET083METAR MMCL 010045Z 15006KT 8SM FEW020 SCT080 OVC100 23/20 A2989 RMK 8/57/ OCNL -RA=",
"76412099999","2022-01-01T01:49:00","4","24.764547","-107.474717","32.91","CULIACAN INTERNATIONAL, MX","FM-15","99999","V020","170,1,N,0046,1","02743,1,9,N","012875,1,9,9","+0230,1","+0200,1","99999,9","01,0002,3,1",,,,,"02,1,+00610,1,06,1","08,1,+02743,1,03,1",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9",,,"10118,1,99999,9",,,,,"MET090METAR MMCL 010149Z 17009KT 8SM FEW020 OVC090 23/20 A2988 RMK 60025 8/57/ OCNL -RA RWY WET=",
"76412099999","2022-01-01T02:52:00","4","24.764547","-107.474717","32.91","CULIACAN INTERNATIONAL, MX","FM-15","99999","V020","180,1,N,0057,1","02438,1,9,N","016093,1,9,9","+0230,1","+0200,1","10121,1",,,,,,"04,1,+00610,1,06,1","08,1,+02438,1,03,1",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00610,1,99,9,99,9",,,"10125,1,99999,9","2,1,005,1,+999,9",,,,"MET096METAR MMCL 010252Z 18011KT 10SM SCT020 OVC080 23/20 A2990 RMK SLP121 52005 900 8/57/ OCNL DROPS=",
"76412099999","2022-01-01T03:41:00","4","24.764547","-107.474717","32.91","CULIACAN INTERNATIONAL, MX","FM-15","99999","V020","210,1,N,0026,1","02438,1,9,N","012875,1,9,9","+0220,1","+0210,1","99999,9","01,0007,3,1",,,,,"04,1,+00610,1,06,1","08,1,+02438,1,03,1",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00610,1,99,9,99,9",,,"10129,1,99999,9",,"61,1",,,"MET091METAR MMCL 010341Z 21005KT 8SM -RA SCT020 OVC080 22/21 A2991 RMK 60075 8/57/ RAB10 RWY WET=",
"76412099999","2022-01-01T04:20:00","4","24.764547","-107.474717","32.91","CULIACAN INTERNATIONAL, MX","FM-15","99999","V020","260,1,N,0051,1","00457,1,C,N","001609,1,9,9","+0210,1","+0210,1","99999,9",,,,,,"08,1,+00457,1,08,1",,,,"9,AGL   ,+99999,+99999","99,99,9,08,1,99,9,00457,1,99,9,99,9",,,"10135,1,99999,9",,"65,1",,,"MET067METAR MMCL 010420Z 26010KT 1SM +RA OVC015TCU 21/21 A2993 RMK 8/2//=",
"76412099999","2022-01-01T04:20:00","4","24.764547","-107.474717","32.91","CULIACAN INTERNATIONAL, MX","FM-16","99999","V020","260,1,N,0051,1","00457,1,C,N","001609,1,9,9","+0210,1","+0210,1","99999,9",,,,,,"08,1,+00457,1,08,1",,,,"9,AGL   ,+99999,+99999","99,99,9,08,1,99,9,00457,1,99,9,99,9",,,"10135,1,99999,9",,"65,1",,,"MET071SPECI COR MMCL 010420Z 26010KT 1SM +RA OVC015TCU 21/21 A2993 RMK 8/2//=",
"76412099999","2022-01-01T04:43:00","4","24.764547","-107.474717","32.91","CULIACAN INTERNATIONAL, MX","FM-15","99999","V020","220,1,N,0062,1","00457,1,C,N","003219,1,9,9","+0200,1","+0200,1","99999,9","01,0007,3,1",,,,,"08,1,+00457,1,08,1",,,,"9,AGL   ,+99999,+99999","99,99,9,08,1,99,9,00457,1,99,9,99,9",,,"10139,1,99999,9",,"65,1",,,"MET073METAR MMCL 010443Z 22012KT 2SM +RA OVC015TCU 20/20 A2994 RMK 60075 8/2//=",
"76412099999","2022-01-01T05:11:00","4","24.764547","-107.474717","32.91","CULIACAN INTERNATIONAL, MX","FM-15","99999","V020","210,1,N,0021,1","00457,1,C,N","009656,1,9,9","+0200,1","+0190,1","99999,9",,,,,,"08,1,+00457,1,08,1",,,,"9,AGL   ,+99999,+99999","99,99,9,08,1,99,9,00457,1,99,9,99,9",,,"10139,1,99999,9",,"61,1",,,"MET084METAR MMCL 010511Z 21004KT 6SM -RA OVC015TCU 20/19 A2994 RMK 8/2// VRB COND RWY WET=",
"76412099999","2022-01-01T05:11:00","4","24.764547","-107.474717","32.91","CULIACAN INTERNATIONAL, MX","FM-16","99999","V020","210,1,N,0021,1","00457,1,C,N","009656,1,9,9","+0200,1","+0190,1","99999,9",,,,,,"08,1,+00457,1,08,1",,,,"9,AGL   ,+99999,+99999","99,99,9,08,1,99,9,00457,1,99,9,99,9",,,"10139,1,99999,9",,"61,1",,,"MET084SPECI MMCL 010511Z 21004KT 6SM -RA OVC015TCU 20/19 A2994 RMK 8/2// VRB COND RWY WET=",
"76412099999","2022-01-01T12:54:00","4","24.764547","-107.474717","32.91","CULIACAN INTERNATIONAL, MX","FM-15","99999","V020","999,9,C,0000,1","03048,1,9,N","016093,1,9,9","+0180,1","+0160,1","99999,9",,,,,,"04,1,+00610,1,06,1","07,1,+03048,1,03,1",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00610,1,99,9,99,9",,,"10146,1,99999,9",,,,,"MET076METAR MMCL 011254Z 00000KT 10SM SCT020 BKN100 18/16 A2996 RMK 8/530 HZY RTS=",
"76412099999","2022-01-01T13:40:00","4","24.764547","-107.474717","32.91","CULIACAN INTERNATIONAL, MX","FM-15","99999","V020","999,9,C,0000,1","03048,1,9,N","016093,1,9,9","+0180,1","+0160,1","99999,9",,,,,,"04,1,+00610,1,06,1","07,1,+03048,1,03,1",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00610,1,99,9,99,9",,,"10152,1,99999,9",,,,,"MET072METAR MMCL 011340Z 00000KT 10SM SCT020 BKN100 18/16 A2998 RMK 8/530 HZY=",
