"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AG1","AJ1","AY1","AY2","GA1","GD1","GD2","GD3","GD4","GF1","GJ1","IA1","IA2","KA1","KA2","MA1","MD1","MW1","MW2","OC1","REM","EQD"
"76412099999","2003-01-01T18:40:00","4","24.764547","-107.474717","32.91","CULIACAN INTERNATIONAL, MX","FM-16","MMCL ","V020","999,9,C,0000,1","22000,1,9,N","032186,1,N,1","+0250,1","+0100,1","99999,9",,,,,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,"10129,1,99999,9",,"00,1",,,"MET057MMCL 011840Z 00000KT 20SM SKC 25/10 A2991 RMK ISOL AC/CI;","Q01+000000PRSWM2"
"76412099999","2003-01-01T19:41:00","4","24.764547","-107.474717","32.91","CULIACAN INTERNATIONAL, MX","FM-16","MMCL ","V020","240,1,N,0026,1","22000,1,9,N","032186,1,N,1","+0280,1","+0110,1","99999,9",,,,,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,"10119,1,99999,9",,"00,1",,,"MET054MMCL 011941Z 24005KT 20SM SKC 28/11 A2988 RMK ISOL CI;","Q01+000000PRSWM2"
"76412099999","2003-01-01T20:40:00","4","24.764547","-107.474717","32.91","CULIACAN INTERNATIONAL, MX","FM-16","MMCL ","V020","240,1,N,0026,1","22000,1,9,N","032186,1,N,1","+0280,1","+0120,1","99999,9",,,,,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,"10112,1,99999,9",,"00,1",,,"MET049MMCL 012040Z 24005KT 20SM SKC 28/12 A2986 PRESFR;","Q01+000000PRSWM2"
"76412099999","2003-01-01T21:00:00","4","24.764547","-107.474717","32.91","CULIACAN INTERNATIONAL, MX","FM-12","MMCL ","V020","270,1,N,0010,1","22000,1,9,N","016000,1,N,1","+0275,1","+0101,1","10134,1","06,0000,9,1",,,,"4,1,03,1","4,1,03,1","02,1,+06000,9,00,9",,,,,"02,99,1,00,1,00,1,99999,9,00,1,01,1",,"01,9",,,,"99999,9,10091,1","7,1,025,1,-012,1","05,1",,,"SYN106AAXX  01210 76412 31966 22701 10275 20101 30091 40134 57025 70544 80001 92038 333 30/// 56005 59012 82070;","Q01  00002PRCP06"
"76412099999","2003-01-01T21:40:00","4","24.764547","-107.474717","32.91","CULIACAN INTERNATIONAL, MX","FM-16","MMCL ","V020","240,1,N,0041,1","22000,1,9,N","032186,1,N,1","+0290,1","+0120,1","99999,9",,,,,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,"10112,1,99999,9",,"00,1",,,"MET042MMCL 012140Z 24008KT 20SM SKC 29/12 A2986;","Q01+000000PRSWM2"
"76412099999","2003-01-01T22:40:00","4","24.764547","-107.474717","32.91","CULIACAN INTERNATIONAL, MX","FM-16","MMCL ","V020","290,1,N,0041,1","22000,1,9,N","032186,1,N,1","+0290,1","+0120,1","99999,9",,,,,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,"10108,1,99999,9",,"00,1",,,"MET061MMCL 012240Z 29008KT 20SM SKC 29/12 A2985 RMK ISOL/CI PRESFR;","Q01+000000PRSWM2"
"76412099999","2003-01-01T23:40:00","4","24.764547","-107.474717","32.91","CULIACAN INTERNATIONAL, MX","FM-16","MMCL ","V020","220,1,N,0026,1","22000,1,9,N","032186,1,N,1","+0280,1","+0120,1","99999,9",,,,,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,"10105,1,99999,9",,"00,1",,,"MET063METAR MMCL 012340Z 22005KT 20SM SKC 28/12 A2984 RMK SLP071 984;","Q01+100713APOSLPQ02+000000PRSWM2"
"76412099999","2003-01-02T00:00:00","4","24.764547","-107.474717","32.91","CULIACAN INTERNATIONAL, MX","FM-12","MMCL ","V020","160,1,N,0010,1","22000,1,9,N","016000,1,N,1","+0272,1","+0104,1","10126,1","06,0000,9,1","24,0000,9,1",,,"4,1,06,1","4,1,06,1",,,,,,"02,99,1,00,1,00,1,99999,9,00,1,01,1",,"01,9",,"120,M,+0290,1","180,N,+0075,1","99999,9,10083,1","7,1,008,1,-018,1","05,1",,,"SYN130AAXX  02000 76412 31966 21601 10272 20104 30083 40126 57008 70544 80001 92335 333 10290 20075 30/// 50420 56003 59018 70000 82070;","Q01  00002PRCP06"
"76412099999","2003-01-02T00:41:00","4","24.764547","-107.474717","32.91","CULIACAN INTERNATIONAL, MX","FM-16","MMCL ","V020","999,9,C,0000,1","22000,1,9,N","024140,1,N,1","+0250,1","+0140,1","99999,9",,,,,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,"10105,1,99999,9",,"00,1",,,"MET056METAR MMCL 020041Z 00000KT 15SM SKC 25/14 A2984 ISOL CI;","Q01+000000PRSWM2"
"76412099999","2003-01-02T02:41:00","4","24.764547","-107.474717","32.91","CULIACAN INTERNATIONAL, MX","FM-16","MMCL ","V020","999,9,9,9999,9","22000,1,9,N","999999,9,N,1","+9999,9","+9999,9","99999,9",,,,,,,,,,,,,,,,,,,,"00,1",,,"MET041MMCL 020241Z 00000K 10SM SKC 19/14 A2987;","Q01+000000PRSWM2"
