"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","GA1","GA2","GA3","GA4","GE1","GF1","MA1","MW1","MW2","REM","EQD"
"76361599999","2020-01-01T19:44:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","360,1,N,0036,1","03048,1,9,N","016093,1,9,9","+0220,1","+0100,1","99999,9",,"04,1,+00610,1,09,1","07,1,+03048,1,03,1","07,1,+06706,1,02,1",,"9,MSL   ,+99999,+99999","99,99,9,04,1,99,9,00610,1,99,9,99,9","10115,1,99999,9",,,"MET077METAR MMLM 011944Z 36007KT 10SM SCT020CB BKN100 BKN220 22/10 A2987 RMK 8/338=",
"76361599999","2020-01-01T20:40:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","300,1,N,0051,1","03048,1,C,N","016093,1,9,9","+0210,1","+0120,1","10102,1",,"04,1,+00610,1,08,1","04,1,+03048,1,03,1","04,1,+06706,1,02,1",,"9,MSL   ,+99999,+99999","99,99,9,04,1,99,9,00610,1,99,9,99,9","10102,1,99999,9",,,"MET082METAR MMLM 012040Z 30010KT 10SM SCT020 SCT100 SCT220 21/12 A2983 RMK SLP102 8/138=",
"76361599999","2020-01-01T21:45:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","999,9,C,0000,1","02134,1,C,N","016093,1,9,9","+0220,1","+0110,1","99999,9",,"04,1,+00610,1,06,1","04,1,+02134,1,03,1",,,"9,MSL   ,+99999,+99999","99,99,9,04,1,99,9,00610,1,99,9,99,9","10095,1,99999,9",,,"MET068METAR MMLM 012145Z 00000KT 10SM SCT020 SCT070 22/11 A2981 RMK 8/430=",
"76361599999","2020-01-01T22:47:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","290,1,N,0021,1","00914,1,C,N","016093,1,9,9","+0220,1","+0100,1","99999,9",,"04,1,+00457,1,08,1","04,1,+00914,1,05,1","04,1,+02134,1,99,9",,"9,MSL   ,+99999,+99999","99,99,9,04,1,99,9,00457,1,99,9,99,9","10091,1,99999,9",,,"MET075METAR MMLM 012247Z 29004KT 10SM SCT015 SCT030 SCT070 22/10 A2980 RMK 8/820=",
"76361599999","2020-01-01T23:40:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","290,1,N,0067,1","01219,1,9,N","016093,1,9,9","+0190,1","+0110,1","10102,1",,"04,1,+00457,1,08,1","07,1,+01219,1,99,9",,,"9,MSL   ,+99999,+99999","99,99,9,04,1,99,9,00457,1,99,9,99,9","10102,1,99999,9",,,"MET083METAR MMLM 012340Z 29013KT 10SM SCT015 BKN040 19/11 A2983 RMK SLP102 8/800 ISOL AS=",
"76361599999","2020-01-02T00:41:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","320,1,N,0077,1","01219,1,C,N","016093,1,9,9","+0180,1","+0120,1","99999,9",,"02,1,+00610,1,08,1","04,1,+01219,1,99,9",,,"9,MSL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9","10095,1,99999,9",,,"MET076METAR MMLM 020041Z 32015KT 10SM FEW020 SCT040 18/12 A2981 RMK 8/800 ISOL AS=",
"76361599999","2020-01-02T01:47:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","290,1,N,0051,1","01524,1,C,N","016093,1,9,9","+0180,1","+0120,1","99999,9",,"07,1,+01524,1,06,1",,,,"9,MSL   ,+99999,+99999","99,99,9,07,1,99,9,01524,1,99,9,99,9","10102,1,99999,9",,,"MET069METAR MMLM 020147Z 29010KT 10SM BKN050 18/12 A2983 RMK 8/400 ISOL AC=",
"76361599999","2020-01-02T02:53:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","320,1,N,0046,1","01219,1,C,N","016093,1,9,9","+0180,1","+0120,1","10109,1",,"07,1,+01219,1,06,1",,,,"9,MSL   ,+99999,+99999","99,99,9,07,1,99,9,01219,1,99,9,99,9","10108,1,99999,9",,,"MET068METAR MMLM 020253Z 32009KT 10SM BKN040 18/12 A2985 RMK SLP109 8/400=",
"76361599999","2020-01-02T03:49:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","290,1,N,0021,1","02134,1,C,N","016093,1,9,9","+0170,1","+0120,1","99999,9",,"04,1,+00610,1,06,1","04,1,+02134,1,05,1","04,1,+06706,1,00,1",,"9,MSL   ,+99999,+99999","99,99,9,04,1,99,9,00610,1,99,9,99,9","10115,1,99999,9",,,"MET075METAR MMLM 020349Z 29004KT 10SM SCT020 SCT070 SCT220 17/12 A2987 RMK 8/421=",
"76361599999","2020-01-02T14:03:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","999,9,C,0000,1","99999,9,9,N","016093,1,9,9","+0130,1","+0100,1","99999,9",,"04,1,+03048,1,03,1",,,,"9,MSL   ,+99999,+99999","99,99,9,04,1,99,9,03048,1,99,9,99,9","10112,1,99999,9",,,"MET077METAR MMLM 021403Z RTD 00000KT 10SM SCT100 13/10 A2986 RMK 8/030 ISOL CU RTS=",
