"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AA3","AJ1","AY1","AY2","GA1","GA2","GA3","GF1","GJ1","IA1","IA2","KA1","KA2","MA1","MD1","ME1","MW1","OC1","REM","EQD"
"76373099999","2009-05-17T12:00:00","4","25.35","-105.75","1967.0","TEPEHUANES DGO., MX","FM-12","99999","V020","320,1,N,0030,1","00750,1,9,N","000100,1,N,1","+0170,1","+0084,1","10111,1","24,0000,9,1",,,,,,"04,1,+00720,1,08,1","03,1,+00750,1,06,1",,"07,99,1,07,1,02,1,00450,1,99,9,99,9",,"01,9",,"120,N,+0140,1","240,M,+0352,1","99999,9,08228,1","9,9,999,9,+028,1",,,,"SYN130AAXX  17121 76373 32401 73203 10170 20084 38228 40111 5//// 872// 91150 333 10352 20140 30115 566// 58028 70000 84824 83625 81925;",
"76373099999","2009-05-17T15:00:00","4","25.35","-105.75","1967.0","TEPEHUANES DGO., MX","FM-12","99999","V020","320,1,N,0010,1","00420,1,C,N","070000,1,N,1","+0174,1","+0095,1","10149,1",,,,,,,"04,1,+00750,1,06,1",,,"07,99,1,07,1,03,1,00450,1,99,9,99,9",,"01,9",,,,"99999,9,08244,1","1,1,016,1,+034,1",,,,"SYN106AAXX  17151 76373 32488 73201 10174 20095 38244 40149 51016 873// 91450 333 30/// 567// 58034 84625 83925;",
"76373099999","2009-05-17T18:00:00","4","25.35","-105.75","1967.0","TEPEHUANES DGO., MX","FM-12","99999","V020","120,1,N,0060,1","22000,1,9,N","070000,1,N,1","+0238,1","+0077,1","10126,1",,,,,,,"01,1,+00750,1,09,1","01,1,+00750,1,06,1",,"03,99,1,02,1,03,1,00800,1,06,1,00,1",,"01,9",,"120,M,+0254,1","240,N,+0140,1","99999,9,08230,1","8,1,014,1,+031,1",,,,"SYN124AAXX  17181 76373 32588 31206 10238 20077 38230 40126 58014 82360 91750 333 10254 20140 30/// 56770 58031 81625 81925 81360;",
"76373099999","2009-05-17T21:00:00","4","25.35","-105.75","1967.0","TEPEHUANES DGO., MX","FM-12","99999","V020","120,1,N,0070,1","03600,1,C,N","070000,1,N,1","+0274,1","+0086,1","10096,1",,,,,,,"03,1,+00900,1,06,1","01,1,+01800,1,04,1",,"05,99,1,03,1,04,1,00800,1,07,1,08,1",,"01,9",,,,"99999,9,08220,1","7,1,010,1,+043,1",,,,"SYN112AAXX  17211 76373 32588 51207 10274 20086 38220 40096 57010 83478 92045 333 30/// 56999 58043 83630 81456 81270;",
"76373099999","2009-05-18T00:00:00","4","25.35","-105.75","1967.0","TEPEHUANES DGO., MX","FM-12","99999","V020","130,1,N,0060,1","03600,1,9,N","070000,1,N,1","+0255,1","+0091,1","10059,1","24,0000,9,1",,,,,,"03,1,+00900,1,09,1",,,"05,99,1,03,1,03,1,00800,1,06,1,00,1",,"01,9",,"120,M,+0295,1","180,N,+0140,1","99999,9,08202,1","5,1,018,1,+036,1",,,,"SYN130AAXX  18001 76373 32588 51306 10255 20091 38202 40059 55018 83360 92345 333 10295 20140 30/// 50551 56340 58036 70000 83930 82360;",
"76373099999","2009-05-18T03:00:00","4","25.35","-105.75","1967.0","TEPEHUANES DGO., MX","FM-12","99999","V020","230,1,N,0010,1","00750,1,9,N","001000,1,N,1","+0159,1","+0128,1","10105,1","03,0090,9,1",,,,"6,1,03,1","6,1,03,1","07,1,+00750,1,09,1",,,"07,99,1,07,1,09,1,00800,1,99,9,99,9",,"09,9",,,,"99999,9,08241,1","2,1,039,1,+051,1",,"50,1",,"SYN112AAXX  18031 76373 21510 72301 10159 20128 38241 40105 52039 75066 879// 90255 333 31/// 569// 58051 60097 87925;",
"76373099999","2009-05-18T06:00:00","4","25.35","-105.75","1967.0","TEPEHUANES DGO., MX","FM-12","99999","V020","250,1,N,0010,1","99999,9,9,N","000100,1,N,1","+0134,1","+0112,1","10132,1","06,0089,9,1",,,,"6,1,06,1","6,1,06,1",,,,"07,99,1,99,9,99,9,00800,1,99,9,99,9",,,,,,"99999,9,08251,1","0,1,001,1,+999,9",,"50,1",,"SYN072AAXX  18061 76373 12501 72501 10134 20112 38251 40132 50001 60091 75066;",
"76373099999","2009-05-18T12:00:00","4","25.35","-105.75","1967.0","TEPEHUANES DGO., MX","FM-12","99999","V020","270,1,N,0020,1","22000,1,9,N","000100,1,N,1","+0126,1","+0116,1","10134,1","24,0000,9,1",,,,,,"02,1,+00750,1,07,1",,,"02,99,1,02,1,08,1,00800,1,00,1,00,1",,"01,9",,"120,N,+0115,1","240,M,+0295,1","99999,9,08245,1","9,9,999,9,-017,1",,,,"SYN118AAXX  18121 76373 32501 22702 10126 20116 38245 40134 5//// 82800 91150 333 10295 20115 30105 56600 59017 70000 82725;",
"76373099999","2009-05-18T15:00:00","4","25.35","-105.75","1967.0","TEPEHUANES DGO., MX","FM-12","99999","V020","220,1,N,0010,1","00900,1,9,N","070000,1,N,1","+0148,1","+0122,1","10141,1",,,,,,,"08,1,+00900,1,07,1",,,"08,99,1,08,1,06,1,00800,1,00,1,00,1",,"01,9",,,,"99999,9,08224,1","5,1,021,1,-020,1",,,,"SYN100AAXX  18151 76373 32588 82201 10148 20122 38224 40141 55021 88600 91445 333 30/// 56900 59020 88730;",
"76373099999","2009-05-18T18:00:00","4","25.35","-105.75","1967.0","TEPEHUANES DGO., MX","FM-12","99999","V020","090,1,N,0020,1","01800,1,C,N","070000,1,N,1","+0228,1","+0108,1","10132,1",,,,,,,"03,1,+00900,1,06,1","02,1,+01800,1,04,1",,"06,99,1,04,1,04,1,00800,1,01,1,08,1",,"01,9",,"120,M,+0295,1","240,N,+0115,1","99999,9,08226,1","0,1,002,1,-004,1",,,,"SYN124AAXX  18181 76373 32588 60902 10228 20108 38226 40132 50002 84418 91745 333 10295 20115 30/// 56922 59004 83630 82456 81270;",
