"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","GA1","GA2","GA3","GE1","GF1","MA1","MW1","REM","EQD"
"76361599999","2025-01-01T21:43:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","300,1,N,0082,1","06706,1,C,N","016093,1,9,9","+0250,1","+0120,1","99999,9","07,1,+06706,1,02,1",,,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,06706,1,99,9,99,9","10135,1,99999,9",,"MET061METAR MMLM 012143Z 30016KT 10SM BKN220 25/12 A2993 RMK 8/008=",
"76361599999","2025-01-01T22:41:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","310,1,N,0077,1","99999,9,9,N","016093,1,9,9","+0250,1","+0100,1","99999,9","04,1,+06706,1,00,1",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,06706,1,99,9,99,9","10132,1,99999,9",,"MET061METAR MMLM 012241Z 31015KT 10SM SCT220 25/10 A2992 RMK 8/001=",
"76361599999","2025-01-01T23:44:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","300,1,N,0057,1","99999,9,9,N","016093,1,9,9","+0230,1","+0120,1","10132,1","04,1,+06706,1,00,1",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,06706,1,99,9,99,9","10132,1,99999,9",,"MET068METAR MMLM 012344Z 30011KT 10SM SCT220 23/12 A2992 RMK SLP132 8/001=",
"76361599999","2025-01-02T00:42:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","280,1,N,0051,1","99999,9,9,N","016093,1,9,9","+0210,1","+0130,1","99999,9","04,1,+06706,1,00,1",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,06706,1,99,9,99,9","10139,1,99999,9",,"MET061METAR MMLM 020042Z 28010KT 10SM SCT220 21/13 A2994 RMK 8/001=",
"76361599999","2025-01-02T01:43:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","270,1,N,0041,1","99999,9,9,N","016093,1,9,9","+0180,1","+0140,1","99999,9","02,1,+06706,1,00,1",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,06706,1,99,9,99,9","10142,1,99999,9",,"MET061METAR MMLM 020143Z 27008KT 10SM FEW220 18/14 A2995 RMK 8/001=",
"76361599999","2025-01-02T02:41:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","300,1,N,0041,1","99999,9,9,N","016093,1,9,9","+0170,1","+0140,1","10149,1","02,1,+06706,1,00,1",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,06706,1,99,9,99,9","10149,1,99999,9",,"MET068METAR MMLM 020241Z 30008KT 10SM FEW220 17/14 A2997 RMK SLP149 8/001=",
"76361599999","2025-01-02T03:44:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","280,1,N,0021,1","99999,9,9,N","012875,1,9,9","+0160,1","+0140,1","99999,9","02,1,+06706,1,00,1",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,06706,1,99,9,99,9","10159,1,99999,9",,"MET064METAR MMLM 020344Z 28004KT 8SM FEW220 16/14 A3000 RMK 8/001 HZY=",
"76361599999","2025-01-02T04:45:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","280,1,N,0031,1","22000,1,9,N","011265,1,9,9","+0150,1","+0130,1","99999,9",,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10159,1,99999,9",,"MET055METAR MMLM 020445Z 28006KT 7SM SKC 15/13 A3000 RMK HZY=",
"76361599999","2025-01-02T13:58:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","270,1,N,0010,1","99999,9,9,N","000201,1,9,9","+0090,1","+0090,1","99999,9","02,1,+06706,1,00,1",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,06706,1,99,9,99,9","10166,1,99999,9","44,1","MET073METAR MMLM 021358Z RTD 27002KT 1/8SM FG FEW220 09/09 A3002 RMK 8/001 RTS=",
"76361599999","2025-01-02T14:40:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","280,1,N,0010,1","99999,9,9,N","000201,1,9,9","+0100,1","+0100,1","10161,1","04,1,+06706,1,00,1",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,06706,1,99,9,99,9","10169,1,99999,9","44,1","MET073METAR MMLM 021440Z 28002KT 1/8SM FG SCT220 10/10 A3003 RMK SLP1610 8/001=",
