"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","GA1","GA2","GA3","GA4","GE1","GF1","MA1","MW1","OC1","REM","EQD"
"76361599999","2024-01-01T20:46:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","190,1,N,0036,1","06706,1,C,N","012875,1,9,9","+0230,1","+0150,1","10177,1",,"07,1,+06706,1,02,1",,,,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,06706,1,99,9,99,9","10176,1,99999,9",,,"MET071METAR MMLM 012046Z 19007KT 8SM BKN220 23/15 A3005 RMK SLP177 8/008 HZY=",
"76361599999","2024-01-01T21:40:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","210,1,N,0031,1","06706,1,C,N","012875,1,9,9","+0230,1","+0150,1","99999,9",,"07,1,+06706,1,02,1",,,,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,06706,1,99,9,99,9","10169,1,99999,9",,,"MET064METAR MMLM 012140Z 21006KT 8SM BKN220 23/15 A3003 RMK 8/008 HZY=",
"76361599999","2024-01-01T22:43:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","260,1,N,0031,1","06706,1,C,N","012875,1,9,9","+0220,1","+0150,1","99999,9",,"07,1,+06706,1,02,1",,,,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,06706,1,99,9,99,9","10173,1,99999,9",,,"MET064METAR MMLM 012243Z 26006KT 8SM BKN220 22/15 A3004 RMK 8/008 HZY=",
"76361599999","2024-01-01T23:40:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","200,1,N,0021,1","06706,1,C,N","012875,1,9,9","+0220,1","+0140,1","10161,1",,"07,1,+06706,1,02,1",,,,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,06706,1,99,9,99,9","10169,1,99999,9",,,"MET072METAR MMLM 012340Z 20004KT 8SM BKN220 22/14 A3003 RMK SLP1610 8/008 HZY=",
"76361599999","2024-01-02T00:40:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","250,1,N,0026,1","06706,1,C,N","012875,1,9,9","+0210,1","+0150,1","99999,9",,"07,1,+06706,1,02,1",,,,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,06706,1,99,9,99,9","10176,1,99999,9",,,"MET064METAR MMLM 020040Z 25005KT 8SM BKN220 21/15 A3005 RMK 8/008 HZY=",
"76361599999","2024-01-02T01:40:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","999,9,C,0000,1","99999,9,9,N","012875,1,9,9","+0200,1","+0150,1","99999,9",,"04,1,+06706,1,00,1",,,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,06706,1,99,9,99,9","10176,1,99999,9",,,"MET060METAR MMLM 020140Z 00000KT 8SM SCT220 20/15 A3005 RMK 8/001=",
"76361599999","2024-01-02T02:41:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","999,9,C,0000,1","99999,9,9,N","016093,1,9,9","+0200,1","+0150,1","10171,1",,"04,1,+06706,1,00,1",,,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,06706,1,99,9,99,9","10179,1,99999,9",,,"MET069METAR MMLM 020241Z 00000KT 10SM SCT220 20/15 A3006 RMK SLP1710 8/001=",
"76361599999","2024-01-02T03:41:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","300,1,N,0021,1","99999,9,9,N","016093,1,9,9","+0180,1","+0140,1","99999,9",,"04,1,+06706,1,00,1",,,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,06706,1,99,9,99,9","10190,1,99999,9",,,"MET061METAR MMLM 020341Z 30004KT 10SM SCT220 18/14 A3009 RMK 8/001=",
"76361599999","2024-01-02T04:41:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","030,1,N,0021,1","99999,9,9,N","012875,1,9,9","+0160,1","+0130,1","99999,9",,"02,1,+06706,1,00,1",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,06706,1,99,9,99,9","10186,1,99999,9",,,"MET060METAR MMLM 020441Z 03004KT 8SM FEW220 16/13 A3008 RMK 8/001=",
"76361599999","2024-01-02T13:53:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","330,1,N,0021,1","06096,1,9,N","011265,1,9,9","+0160,1","+0130,1","99999,9",,"04,1,+00914,1,06,1","07,1,+06096,1,02,1",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00914,1,99,9,99,9","10200,1,99999,9","40,1",,"MET076METAR MMLM 021353Z 33004KT 7SM VCFG SCT030 BKN200 16/13 A3012 RMK 8/508 RTS=",
