"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","GA1","GA2","GA3","GD1","GD2","GD3","GF1","MA1","MW1","MW2","OC1","REM","EQD"
"76361599999","2006-01-01T00:51:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","MMLM ","V020","300,1,N,0031,1","22000,1,9,N","016093,1,N,1","+0210,1","+0100,1","99999,9",,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10132,1,99999,9",,,,"MET042MMLM 010051Z 30006KT 10SM SKC 21/10 A2992;","Q01+000000PRSWM1Q02    993SCCGA1Q03    099SCCGD1"
"76361599999","2006-01-01T02:00:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","MMLM ","V020","270,1,N,0041,1","22000,1,9,N","016093,1,N,1","+0180,1","+0120,1","99999,9",,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10132,1,99999,9",,,,"MET046MMLM 010157Z RTD 27008KT 10SM SKC 18/12 A2992;","Q01+000000PRSWM1Q02    993SCCGA1Q03    099SCCGD1"
"76361599999","2006-01-01T14:01:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","MMLM ","V020","999,9,C,0000,1","22000,1,9,N","000805,1,N,1","+0130,1","+0120,1","99999,9",,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10135,1,99999,9","44,1",,,"MET058MMLM 011401Z RTD 00000KT 1/2SM FG SKC 13/12 A2993 RMK RTS;","Q01+000000PRSWM1Q02    993SCCGA1Q03    099SCCGD1"
"76361599999","2006-01-01T14:45:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","MMLM ","V020","999,9,C,0000,1","22000,1,9,N","000101,1,N,1","+0140,1","+0130,1","10139,1",,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10139,1,99999,9","44,1",,,"MET058MMLM 011445Z 00000KT 1/16SM FG SKC 14/13 A2994 RMK SLP139;","Q01+000000PRSWM1Q02    993SCCGA1Q03    099SCCGD1"
"76361599999","2006-01-01T15:12:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-16","MMLM ","V020","999,9,C,0000,1","22000,1,9,N","002414,1,N,1","+0140,1","+0130,1","99999,9",,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10142,1,99999,9","10,1",,,"MET061MMLM 011512Z 00000KT 1 1/2SM BR SKC 14/13 A2995 RMK FG DSPTG;","Q01+000000PRSWM1Q02    993SCCGA1Q03    099SCCGD1"
"76361599999","2006-01-01T15:48:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","MMLM ","V020","030,1,N,0026,1","22000,1,9,N","012874,1,N,1","+0140,1","+0130,1","99999,9",,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10152,1,99999,9",,,,"MET049MMLM 011548Z 03005KT 8SM SKC 14/13 A2998 RMK HZY;","Q01+000000PRSWM1Q02    993SCCGA1Q03    099SCCGD1"
"76361599999","2006-01-01T16:40:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","MMLM ","V020","030,1,N,0026,1","22000,1,9,N","016093,1,N,1","+0180,1","+0090,1","99999,9",,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10159,1,99999,9",,,,"MET050MMLM 011640Z 03005KT 10SM SKC 18/09 A3000 RMK HZY;","Q01+000000PRSWM1Q02    993SCCGA1Q03    099SCCGD1"
"76361599999","2006-01-01T18:40:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","MMLM ","V020","050,1,N,0036,1","22000,1,9,N","016093,1,N,1","+0240,1","+0060,1","99999,9",,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10156,1,99999,9",,,,"MET050MMLM 011840Z 05007KT 10SM SKC 24/06 A2999 RMK HZY;","Q01+000000PRSWM1Q02    993SCCGA1Q03    099SCCGD1"
"76361599999","2006-01-01T19:41:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","MMLM ","V020","999,9,C,0000,1","22000,1,9,N","016093,1,N,1","+0260,1","+0060,1","99999,9",,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10135,1,99999,9",,,,"MET050MMLM 011941Z 00000KT 10SM SKC 26/06 A2993 RMK HZY;","Q01+000000PRSWM1Q02    993SCCGA1Q03    099SCCGD1"
"76361599999","2006-01-01T20:41:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","MMLM ","V020","999,9,C,0000,1","22000,1,9,N","024140,1,N,1","+0270,1","+0060,1","10129,1",,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10129,1,99999,9",,,,"MET053MMLM 012041Z 00000KT 15SM SKC 27/06 A2991 RMK SLP129;","Q01+000000PRSWM1Q02    993SCCGA1Q03    099SCCGD1"
"76361599999","2006-01-01T21:52:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","MMLM ","V020","220,1,N,0041,1","22000,1,9,N","016093,1,N,1","+0250,1","+0080,1","99999,9",,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10122,1,99999,9",,,,"MET059MMLM 012152Z 22008KT 10SM SKC 25/08 A2989 RMK HZY FULYR NE;","Q01+000000PRSWM1Q02    993SCCGA1Q03    099SCCGD1"
"76361599999","2006-01-01T22:46:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","MMLM ","V020","240,1,N,0026,1","22000,1,9,N","016093,1,N,1","+0240,1","+0100,1","99999,9",,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10122,1,99999,9",,,,"MET059MMLM 012246Z 24005KT 10SM SKC 24/10 A2989 RMK HZY FULYR NE;","Q01+000000PRSWM1Q02    993SCCGA1Q03    099SCCGD1"
"76361599999","2006-01-01T23:43:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","MMLM ","V020","240,1,N,0026,1","22000,1,9,N","016093,1,N,1","+0230,1","+0100,1","10122,1",,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10122,1,99999,9",,,,"MET066MMLM 012343Z 24005KT 10SM SKC 23/10 A2989 RMK SLP122 HZY FULYR NE;","Q01+000000PRSWM1Q02    993SCCGA1Q03    099SCCGD1"
"76361599999","2006-01-02T00:53:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","MMLM ","V020","270,1,N,0026,1","22000,1,9,N","016093,1,N,1","+0200,1","+0100,1","99999,9",,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10129,1,99999,9",,,,"MET059MMLM 020053Z 27005KT 10SM SKC 20/10 A2991 RMK HZY FULYR NE;","Q01+000000PRSWM1Q02    993SCCGA1Q03    099SCCGD1"
