"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AA3","AY1","AY2","GA1","GA2","GF1","GJ1","IA1","IA2","KA1","KA2","MA1","MD1","ME1","MW1","REM","EQD"
"76373099999","2012-01-01T00:00:00","4","25.35","-105.75","1967.0","TEPEHUANES DGO., MX","FM-12","99999","V020","999,9,C,0000,1","22000,1,9,N","020000,1,N,1","+0220,1","-0026,1","10157,1","24,0000,9,1",,,,,"00,1,+99999,9,99,9",,"00,99,1,00,1,00,1,99999,9,00,1,00,1",,"01,9",,"120,M,+0270,1","180,N,-0040,1","99999,9,08210,1","2,1,001,1,-026,1",,,"SYN106AAXX  01001 76373 32970 00000 10220 21026 38210 40157 52001 90055 333 10270 21040 30/// 50301 59026 70000;","Q01  00002PRCP24"
"76373099999","2012-01-01T06:00:00","4","25.35","-105.75","1967.0","TEPEHUANES DGO., MX","FM-12","99999","V020","999,9,C,0000,1","22000,1,9,N","001000,1,N,1","+0086,1","-0030,1","10196,1",,,,,,"00,1,+99999,9,99,9",,"00,99,1,00,1,00,1,99999,9,00,1,00,1","0516,9","01,9",,"240,M,+0270,1","240,N,-0040,1","99999,9,08242,1","2,1,024,1,+999,9",,,"SYN106AAXX  01061 76373 32910 00000 10086 21030 38242 40196 52024 90555 333 10270 21040 30/// 55086 21385 58018;",
"76373099999","2012-01-01T12:00:00","4","25.35","-105.75","1967.0","TEPEHUANES DGO., MX","FM-12","99999","V020","999,9,C,0000,1","22000,1,9,N","001000,1,N,1","-0006,1","-0041,1","10226,1","24,0000,9,1",,,,,"00,1,+99999,9,99,9",,"00,99,1,00,1,00,1,99999,9,00,1,00,1",,"09,9","999,-0045,9","120,N,-0032,1","240,M,+0270,1","99999,9,08266,1","9,9,999,9,+033,1",,,"SYN100AAXX  01121 76373 32910 00000 11006 21041 38266 40226 5//// 91155 333 10270 21032 31045 58033 70000;","Q01  00002PRCP24"
"76373099999","2012-01-01T15:00:00","4","25.35","-105.75","1967.0","TEPEHUANES DGO., MX","FM-12","99999","V020","999,9,C,0000,1","22000,1,9,N","020000,1,N,1","+0017,1","-0053,1","10178,1",,,,,,"00,1,+99999,9,99,9",,"00,99,1,00,1,00,1,99999,9,00,1,00,1",,"01,9",,,,"99999,9,08228,1","7,1,002,1,-024,1",,,"SYN082AAXX  01151 76373 32970 00000 10017 21053 38228 40178 57002 91455 333 30/// 59024;",
"76373099999","2012-01-01T18:00:00","4","25.35","-105.75","1967.0","TEPEHUANES DGO., MX","FM-12","99999","V020","999,9,C,0000,1","22000,1,9,N","030000,1,N,1","+0167,1","-0035,1","99999,9",,,,,,"00,1,+99999,9,99,9",,"00,99,1,00,1,00,1,99999,9,00,1,00,1",,"01,9",,"120,M,+0180,1","240,N,-0032,1",,"2,1,076,1,-054,1",,,"SYN094AAXX  01181 76373 32980 00000 10167 21035 38292 40257 52076 91750 333 10180 21032 30/// 59054;","Q01+082923APOSP "
"76373099999","2012-01-01T21:00:00","4","25.35","-105.75","1967.0","TEPEHUANES DGO., MX","FM-12","99999","V020","160,1,N,0020,1","22000,1,9,N","030000,1,N,1","+0228,2","-0077,1","10223,1",,,,,,"00,1,+99999,9,99,9",,"00,99,1,00,1,00,1,99999,9,00,1,00,1",,"01,9",,,,"99999,9,08264,1","7,1,032,1,+064,1",,,"SYN082AAXX  01211 76373 32980 01602 10228 21077 38264 40223 57032 92050 333 30/// 58064;",
"76373099999","2012-01-02T00:00:00","4","25.35","-105.75","1967.0","TEPEHUANES DGO., MX","FM-12","99999","V020","160,1,N,0020,1","22000,1,9,N","030000,1,N,1","+0213,1","-0080,1","10226,1","24,0000,9,1",,,,,"00,1,+99999,9,99,9",,"00,99,1,00,1,00,1,99999,9,00,1,00,1",,"01,9",,"120,M,+0245,1","180,N,-0032,1","99999,9,08266,1","2,1,002,1,+055,1",,,"SYN106AAXX  02001 76373 32980 01602 10213 21080 38266 40226 52002 92355 333 10245 21032 30/// 50401 58055 70000;","Q01  00002PRCP24"
"76373099999","2012-01-02T03:00:00","4","25.35","-105.75","1967.0","TEPEHUANES DGO., MX","FM-12","99999","V020","999,9,C,0000,1","22000,1,9,N","001000,1,N,1","+0126,1","-0083,1","10172,1",,,,,,"00,1,+99999,9,99,9",,"00,99,1,00,1,00,1,99999,9,00,1,00,1",,"01,9",,,,"99999,9,08222,1","7,1,044,1,+029,1",,,"SYN082AAXX  02031 76373 32910 00000 10126 21083 38222 40172 57044 90250 333 30/// 58029;",
"76373099999","2012-01-02T12:00:00","4","25.35","-105.75","1967.0","TEPEHUANES DGO., MX","FM-12","99999","V020","999,9,C,0000,1","22000,1,9,N","001000,1,N,1","+0001,1","-0078,1","10190,1","24,0000,9,1",,,,,"00,1,+99999,9,99,9",,"00,99,1,00,1,00,1,99999,9,00,1,00,1",,"09,9","999,-0038,9","120,N,-0021,1","240,M,+0245,1","99999,9,08237,1","9,9,999,9,+026,1",,,"SYN100AAXX  02121 76373 32910 00000 10001 21078 38237 40190 5//// 91155 333 10245 21021 31038 58026 70000;","Q01  00002PRCP24"
"76373099999","2012-01-02T15:00:00","4","25.35","-105.75","1967.0","TEPEHUANES DGO., MX","FM-12","99999","V020","999,9,C,0000,1","22000,1,9,N","020000,1,N,1","+0015,1","-0077,1","10219,1",,,,,,"00,1,+99999,9,99,9",,"00,99,1,00,1,00,1,99999,9,00,1,00,1",,"01,9",,,,"99999,9,08261,1","7,1,036,1,+046,1",,,"SYN082AAXX  02151 76373 32970 00000 10015 21077 38261 40219 57036 91455 333 30/// 58046;",
"76373099999","2012-01-02T18:00:00","4","25.35","-105.75","1967.0","TEPEHUANES DGO., MX","FM-12","99999","V020","160,1,N,0010,1","22000,1,9,N","030000,1,N,1","+0150,1","-0043,1","10198,1",,,,,,"00,1,+99999,9,99,9",,"00,99,1,00,1,00,1,99999,9,00,1,00,1",,"01,9",,"120,M,+0151,1","240,N,-0021,1","99999,9,08244,1","2,1,023,1,-051,1",,,"SYN094AAXX  02181 76373 32980 01601 10150 21043 38244 40198 52023 91755 333 10151 21021 30/// 59051;",
"76373099999","2012-01-02T21:00:00","4","25.35","-105.75","1967.0","TEPEHUANES DGO., MX","FM-12","99999","V020","140,1,N,0020,1","22000,1,9,N","030000,1,N,1","+0201,1","+0017,1","10155,1",,,,,,"00,1,+99999,9,99,9",,"00,99,1,00,1,00,1,99999,9,00,1,00,1",,"01,9",,,,"99999,9,08209,1","7,1,042,1,-065,1",,,"SYN082AAXX  02211 76373 32980 01402 10201 20017 38209 40155 57042 92055 333 30/// 59065;",
"76373099999","2012-01-03T00:00:00","4","25.35","-105.75","1967.0","TEPEHUANES DGO., MX","FM-12","99999","V020","160,1,N,0020,1","22000,1,9,N","030000,1,N,1","+0187,1","+0015,1","10165,1","24,0000,9,1",,,,,"00,1,+99999,9,99,9",,"00,99,1,00,1,00,1,99999,9,00,1,00,1",,"01,9",,"120,M,+0215,1","180,N,-0021,1","99999,9,08217,1","2,1,012,1,-051,1",,,"SYN106AAXX  03001 76373 32980 01602 10187 20015 38217 40165 52012 92355 333 10215 21021 30/// 50301 59051 70000;","Q01  00002PRCP24"
"76373099999","2012-01-03T03:00:00","4","25.35","-105.75","1967.0","TEPEHUANES DGO., MX","FM-12","99999","V020","999,9,C,0000,1","22000,1,9,N","001000,1,N,1","+0133,1","+0009,1","99999,9",,,,,,"00,1,+99999,9,99,9",,"00,99,1,00,1,00,1,99999,9,00,1,00,1",,,,,,,,,,"SYN082AAXX  03031 76373 32910 00000 10133 20009 25032 38235 40187 90250 333 30/// 58035;",
